CountryName,CategoryName,CategoryTotal
Madagascar,Children married by 15,14
Madagascar,Children married by 18,48
Madagascar,Birth registration total,80
Madagascar,Justify wife beating male,30
Madagascar,Justify wife beating female,32
Malawi,Child_labour_total,26
Malawi,Child_labour_male,25
Malawi,Child_labour_female,26
Malawi,Children married by 15,12
Malawi,Children married by 18,50
Malawi,Justify wife beating male,13
Malawi,Justify wife beating female,13
Maldives,Children married by 18,4
Maldives,Birth registration total,93
Maldives,Justify wife beating male,14 
Maldives,Justify wife beating female,31 
Mali,Child_labour_total,21
Mali,Child_labour_male,22
Mali,Child_labour_female,21
Mali,Children married by 15,15
Mali,Children married by 18,55
Mali,Birth registration total,81
Mali,FGM prevelance in women,89
Mali,FGM prevalance in girls,74 
Mali,FGM prevelance in support groups,73
Mali,Justify wife beating female,87
Malta,Birth registration total,100 
Marshall Islands,Children married by 15,6
Marshall Islands,Children married by 18,26
Marshall Islands,Birth registration total,96
Marshall Islands,Justify wife beating male,58
Marshall Islands,Justify wife beating female,56
Mauritania,Child_labour_total,15
Mauritania,Child_labour_male,14
Mauritania,Child_labour_female,15
Mauritania,Children married by 15,14
Mauritania,Children married by 18,34
Mauritania,Birth registration total,59
Mauritania,FGM prevelance in women,69
Mauritania,FGM prevalance in girls,54
Mauritania,FGM prevelance in support groups,41
Mauritania,Justify wife beating female,38
Mauritania,Violent discipline total,87
Mauritania,Violent discipline male,87
Mauritania,Violent discipline female,87
Mexico,Child_labour_total,6 
Mexico,Child_labour_male,7 
Mexico,Child_labour_female,5 
Mexico,Children married by 15,5
Mexico,Children married by 18,23
Mexico,Birth registration total,93 
Monaco,Birth registration total,100 
Mongolia,Child_labour_total,10
Mongolia,Child_labour_male,10
Mongolia,Child_labour_female,11
Mongolia,Children married by 18,5
Mongolia,Birth registration total,99
Mongolia,Justify wife beating male,9 
Mongolia,Justify wife beating female,10
Mongolia,Violent discipline total,46
Mongolia,Violent discipline male,48
Mongolia,Violent discipline female,43
Montenegro,Child_labour_total,10
Montenegro,Child_labour_male,12
Montenegro,Child_labour_female,8
Montenegro,Children married by 18,5
Montenegro,Birth registration total,99
Montenegro,Justify wife beating female,11
Montenegro,Violent discipline total,63
Montenegro,Violent discipline male,64
Montenegro,Violent discipline female,61
Morocco,Child_labour_total,8
Morocco,Child_labour_male,9
Morocco,Child_labour_female,8
Morocco,Children married by 15,3 
Morocco,Children married by 18,16 
Morocco,Birth registration total,94 
Morocco,Justify wife beating female,64 
Morocco,Violent discipline total,91
Morocco,Violent discipline male,92
Morocco,Violent discipline female,90
Mozambique,Child_labour_total,22
Mozambique,Child_labour_male,21
Mozambique,Child_labour_female,24
Mozambique,Children married by 15,14
Mozambique,Children married by 18,48
Mozambique,Birth registration total,48
Mozambique,Justify wife beating male,20
Mozambique,Justify wife beating female,23
Myanmar,Birth registration total,72
Namibia,Children married by 15,2
Namibia,Children married by 18,9
Namibia,Birth registration total,78 
Namibia,Justify wife beating male,41
Namibia,Justify wife beating female,35
Nauru,Children married by 15,2
Nauru,Children married by 18,27
Nauru,Birth registration total,83
Nepal,Child_labour_total,34 
Nepal,Child_labour_male,30 
Nepal,Child_labour_female,38 
Nepal,Children married by 15,10
Nepal,Children married by 18,41
Nepal,Birth registration total,42
Nepal,Justify wife beating male,22
Nepal,Justify wife beating female,23
Netherlands,Birth registration total,100 
New Zealand,Birth registration total,100 
Nicaragua,Child_labour_total,15 
Nicaragua,Child_labour_male,18 
Nicaragua,Child_labour_female,11 
Nicaragua,Children married by 15,10
Nicaragua,Children married by 18,41
Nicaragua,Birth registration total,85
Nicaragua,Justify wife beating female,14
Niger,Child_labour_total,43
Niger,Child_labour_male,43
Niger,Child_labour_female,43
Niger,Children married by 15,36
Niger,Children married by 18,75
Niger,Birth registration total,32
Niger,FGM prevelance in women,2
Niger,FGM prevalance in girls,1 
Niger,FGM prevelance in support groups,3
Niger,Justify wife beating female,70
Nigeria,Child_labour_total,25
Nigeria,Child_labour_male,24
Nigeria,Child_labour_female,25
Nigeria,Children married by 15,20
Nigeria,Children married by 18,39
Nigeria,Birth registration total,42
Nigeria,FGM prevelance in women,27
Nigeria,FGM prevalance in girls,14
Nigeria,FGM prevelance in support groups,21
Nigeria,Justify wife beating female,46
Nigeria,Violent discipline total,91
Nigeria,Violent discipline male,91
Nigeria,Violent discipline female,90
Norway,Birth registration total,100 
Pakistan,Children married by 15,7
Pakistan,Children married by 18,24
Pakistan,Birth registration total,27
Panama,Child_labour_total,6 
Panama,Child_labour_male,8 
Panama,Child_labour_female,3 
Papua New Guinea,Children married by 15,2
Papua New Guinea,Children married by 18,21
Paraguay,Child_labour_total,15 
Paraguay,Child_labour_male,17 
Paraguay,Child_labour_female,12 
Paraguay,Children married by 18,18 
Paraguay,Birth registration total,76 
Peru,Child_labour_total,34 
Peru,Child_labour_male,31 
Peru,Child_labour_female,36 
Peru,Children married by 15,3
Peru,Children married by 18,19
Peru,Birth registration total,96 
Philippines,Children married by 15,2
Philippines,Children married by 18,14
Philippines,Birth registration total,90
Philippines,Justify wife beating female,14
Poland,Birth registration total,100 
Portugal,Child_labour_total,"3 ,"
Portugal,Child_labour_male,"4 ,"
Portugal,Child_labour_female,"3 ,"
Portugal,Birth registration total,100 
Republic of Moldova,Child_labour_total,16
Republic of Moldova,Child_labour_male,20
Republic of Moldova,Child_labour_female,12
Republic of Moldova,Children married by 15,1
Republic of Moldova,Children married by 18,19
Republic of Moldova,Birth registration total,100
Republic of Moldova,Justify wife beating male,22 
Republic of Moldova,Justify wife beating female,21
Romania,Child_labour_total,1 
Romania,Child_labour_male,1 
Romania,Child_labour_female,1 
Russian Federation,Birth registration total,100 
Rwanda,Child_labour_total,29
Rwanda,Child_labour_male,27
Rwanda,Child_labour_female,30
Rwanda,Children married by 15,1
Rwanda,Children married by 18,8
Rwanda,Birth registration total,63
Rwanda,Justify wife beating male,25
Rwanda,Justify wife beating female,56
Samoa,Birth registration total,48
Samoa,Justify wife beating male,46
Samoa,Justify wife beating female,61
San Marino,Birth registration total,100 
Sao Tome and Principe,Child_labour_total,8
Sao Tome and Principe,Child_labour_male,8
Sao Tome and Principe,Child_labour_female,7
Sao Tome and Principe,Children married by 15,5
Sao Tome and Principe,Children married by 18,34
Sao Tome and Principe,Birth registration total,75
Sao Tome and Principe,Justify wife beating male,22
Sao Tome and Principe,Justify wife beating female,20
Senegal,Child_labour_total,17
Senegal,Child_labour_male,18
Senegal,Child_labour_female,16
Senegal,Children married by 15,12
Senegal,Children married by 18,33
Senegal,Birth registration total,75
Senegal,FGM prevelance in women,26
Senegal,FGM prevalance in girls,18
Senegal,FGM prevelance in support groups,17
Senegal,Justify wife beating male,25
Senegal,Justify wife beating female,60
Serbia,Child_labour_total,4
Serbia,Child_labour_male,5
Serbia,Child_labour_female,4
Serbia,Children married by 15,1
Serbia,Children married by 18,5
Serbia,Birth registration total,99
Serbia,Justify wife beating male,7 
Serbia,Justify wife beating female,3
Serbia,Violent discipline total,67
Serbia,Violent discipline male,70
Serbia,Violent discipline female,64
Sierra Leone,Child_labour_total,26
Sierra Leone,Child_labour_male,27
Sierra Leone,Child_labour_female,25
Sierra Leone,Children married by 15,18
Sierra Leone,Children married by 18,44
Sierra Leone,Birth registration total,78
Sierra Leone,FGM prevelance in women,88
Sierra Leone,FGM prevalance in girls,13
Sierra Leone,FGM prevelance in support groups,66
Sierra Leone,Justify wife beating female,73
Sierra Leone,Violent discipline total,82
Sierra Leone,Violent discipline male,81
Sierra Leone,Violent discipline female,82
Slovakia,Birth registration total,100 
Slovenia,Birth registration total,100 
Solomon Islands,Children married by 15,3
Solomon Islands,Children married by 18,22
Solomon Islands,Justify wife beating male,65
Solomon Islands,Justify wife beating female,69
Solomon Islands,Violent discipline total,72 
Somalia,Child_labour_total,49
Somalia,Child_labour_male,45
Somalia,Child_labour_female,54
Somalia,Children married by 15,8
Somalia,Children married by 18,45
